NACA 0012
Sheldahl, R. E. and Klimas, P. C., Aerodynamic Characteristics of Seven Airfoil Sections Through 180 Degrees Angle of Attack for Use in Aerodynamic Analysis of Vertical Axis Wind Turbines,
SAND80-2114, March 1981, Sandia National Laboratories, Albuquerque, New Mexico.
2        Number of airfoil tables in this file
0.300000    Reynolds number in millions.
0.000000    Control setting
6.248564    Stall angle (deg)
0.000055    Angle of attack for zero Cn for linear Cn curve (deg)
7.604175    Cn slope for zero lift for linear Cn curve (1/rad)
0.829289    Cn at stall value for positive angle of attack for linear Cn curve
-0.829614   Cn at stall value for negative angle of attack for linear Cn curve
0.000000    Angle of attack for minimum CD (deg)
0.010710    Minimum CD value
-180.000000 0.000000    0.021358
-178.803571 0.045260    0.021876
-177.607143 0.090520    0.023431
-176.410714 0.135780    0.026019
-175.214286 0.181040    0.029636
-174.017857 0.226300    0.034275
-172.821429 0.271560    0.039929
-171.625000 0.316820    0.046587
-170.428571 0.362080    0.054238
-169.232143 0.407340    0.062868
-168.035714 0.452600    0.072463
-166.839286 0.497860    0.083004
-165.642857 0.543120    0.094475
-164.446429 0.588380    0.106854
-163.250000 0.633640    0.120120
-158.017857 0.581693    0.187941
-152.785714 0.560030    0.269963
-147.553571 0.547958    0.363436
-142.321429 0.535787    0.465228
-137.089286 0.518388    0.571924
-131.857143 0.492975    0.679943
-126.625000 0.458187    0.785659
-121.392857 0.413652    0.885517
-116.160714 0.359761    0.976155
-110.928571 0.297508    1.054516
-105.696429 0.228381    1.117948
-100.464286 0.154262    1.164295
-95.232143  0.077336    1.191969
-90.000000  0.000000    1.200000
-84.767857  -0.077336   1.191969
-79.535714  -0.154262   1.164295
-74.303571  -0.228381   1.117948
-69.071429  -0.297508   1.054516
-63.839286  -0.359761   0.976155
-58.607143  -0.413652   0.885517
-53.375000  -0.458187   0.785659
-48.142857  -0.492975   0.679943
-42.910714  -0.518388   0.571924
-37.678571  -0.535787   0.465228
-32.446429  -0.547958   0.363436
-27.214286  -0.560030   0.269963
-21.982143  -0.581693   0.187941
-16.750000  -0.906900   0.119310
-16.500000  -1.004600   0.096290
-16.250000  -1.060700   0.083670
-16.000000  -1.098300   0.075170
-15.750000  -1.126000   0.068700
-15.500000  -1.147700   0.063420
-15.250000  -1.165500   0.058980
-15.000000  -1.180400   0.055150
-14.750000  -1.193100   0.051840
-14.500000  -1.204000   0.048990
-14.250000  -1.213000   0.046580
-14.000000  -1.194500   0.044260
-13.750000  -1.183000   0.042670
-13.500000  -1.175100   0.041130
-13.250000  -1.169000   0.039560
-13.000000  -1.162200   0.038040
-12.750000  -1.155800   0.036580
-12.500000  -1.149900   0.035280
-12.250000  -1.127200   0.033520
-12.000000  -1.111700   0.032420
-11.750000  -1.098700   0.031390
-11.500000  -1.086700   0.030380
-11.250000  -1.075700   0.029480
-11.000000  -1.055900   0.028080
-10.750000  -1.041600   0.027190
-10.500000  -1.027500   0.026370
-10.250000  -1.012500   0.025390
-10.000000  -0.998500   0.024500
-9.750000   -0.983900   0.023790
-9.500000   -0.970900   0.022840
-9.250000   -0.957300   0.022170
-9.000000   -0.944800   0.021380
-8.750000   -0.931200   0.020790
-8.500000   -0.918900   0.020070
-8.250000   -0.904300   0.019540
-8.000000   -0.891100   0.018940
-7.750000   -0.877500   0.018360
-7.500000   -0.862700   0.017870
-7.250000   -0.847200   0.017430
-7.000000   -0.831800   0.016990
-6.750000   -0.816300   0.016540
-6.500000   -0.800100   0.016140
-6.250000   -0.783300   0.015780
-6.000000   -0.766100   0.015450
-5.750000   -0.748500   0.015120
-5.500000   -0.730200   0.014850
-5.250000   -0.711300   0.014610
-5.000000   -0.692000   0.014420
-4.750000   -0.667700   0.014220
-4.500000   -0.625300   0.014020
-4.250000   -0.584800   0.013810
-4.000000   -0.541700   0.013630
-3.750000   -0.503300   0.013410
-3.500000   -0.460200   0.013210
-3.250000   -0.423400   0.013000
-3.000000   -0.380300   0.012770
-2.750000   -0.343100   0.012570
-2.500000   -0.301200   0.012310
-2.250000   -0.265100   0.012080
-2.000000   -0.228600   0.011840
-1.750000   -0.197300   0.011610
-1.500000   -0.162700   0.011360
-1.250000   -0.135700   0.011190
-1.000000   -0.108000   0.011030
-0.750000   -0.080300   0.010900
-0.500000   -0.053100   0.010790
-0.250000   -0.026400   0.010730
0.000000    0.000000    0.010710
0.250000    0.026400    0.010730
0.500000    0.053100    0.010790
0.750000    0.080300    0.010900
1.000000    0.108000    0.011030
1.250000    0.135700    0.011190
1.500000    0.162700    0.011360
1.750000    0.197300    0.011610
2.000000    0.228600    0.011830
2.250000    0.265000    0.012080
2.500000    0.301200    0.012310
2.750000    0.343000    0.012570
3.000000    0.380300    0.012770
3.250000    0.423400    0.013000
3.500000    0.460200    0.013210
3.750000    0.503300    0.013410
4.000000    0.541700    0.013630
4.250000    0.584800    0.013810
4.500000    0.625300    0.014020
4.750000    0.667700    0.014220
5.000000    0.691900    0.014410
5.250000    0.711200    0.014610
5.500000    0.730000    0.014840
5.750000    0.748300    0.015120
6.000000    0.765900    0.015440
6.250000    0.783200    0.015780
6.500000    0.800000    0.016140
6.750000    0.816200    0.016540
7.000000    0.831700    0.016980
7.250000    0.847100    0.017420
7.500000    0.862600    0.017860
7.750000    0.877400    0.018360
8.000000    0.891000    0.018930
8.250000    0.904200    0.019530
8.500000    0.918900    0.020060
8.750000    0.931200    0.020790
9.000000    0.944800    0.021380
9.250000    0.957400    0.022160
9.500000    0.971000    0.022840
9.750000    0.984100    0.023790
10.000000   0.998700    0.024500
10.250000   1.012800    0.025390
10.500000   1.027800    0.026360
10.750000   1.042000    0.027190
11.000000   1.056400    0.028080
11.250000   1.076200    0.029480
11.500000   1.087200    0.030380
11.750000   1.099300    0.031400
12.000000   1.112400    0.032420
12.250000   1.128000    0.033530
12.500000   1.150400    0.035280
12.750000   1.156500    0.036590
13.000000   1.162900    0.038050
13.250000   1.169900    0.039570
13.500000   1.176000    0.041130
13.750000   1.184100    0.042670
14.000000   1.195900    0.044260
14.250000   1.213900    0.046600
14.500000   1.204700    0.049010
14.750000   1.194000    0.051860
15.000000   1.181400    0.055180
15.250000   1.166600    0.059020
15.500000   1.148900    0.063460
15.750000   1.127300    0.068730
16.000000   1.099600    0.075230
16.250000   1.061500    0.083810
16.500000   1.004600    0.096640
16.750000   0.905200    0.120120
21.982143   0.830990    0.187941
27.214286   0.800042    0.269963
32.446429   0.782797    0.363436
37.678571   0.765409    0.465228
42.910714   0.740555    0.571924
48.142857   0.704251    0.679943
53.375000   0.654552    0.785659
58.607143   0.590932    0.885517
63.839286   0.513945    0.976155
69.071429   0.425012    1.054516
74.303571   0.326259    1.117948
79.535714   0.220374    1.164295
84.767857   0.110480    1.191969
90.000000   0.000000    1.200000
95.232143   -0.077336   1.191969
100.464286  -0.154262   1.164295
105.696429  -0.228381   1.117948
110.928571  -0.297508   1.054516
116.160714  -0.359761   0.976155
121.392857  -0.413652   0.885517
126.625000  -0.458187   0.785659
131.857143  -0.492975   0.679943
137.089286  -0.518388   0.571924
142.321429  -0.535787   0.465228
147.553571  -0.547958   0.363436
152.785714  -0.560030   0.269963
158.017857  -0.581693   0.187941
163.250000  -0.633640   0.120120
164.446429  -0.588380   0.106854
165.642857  -0.543120   0.094475
166.839286  -0.497860   0.083004
168.035714  -0.452600   0.072463
169.232143  -0.407340   0.062868
170.428571  -0.362080   0.054238
171.625000  -0.316820   0.046587
172.821429  -0.271560   0.039929
174.017857  -0.226300   0.034275
175.214286  -0.181040   0.029636
176.410714  -0.135780   0.026019
177.607143  -0.090520   0.023431
178.803571  -0.045260   0.021876
180.000000  0.000000    0.021358
EOT
3.6     Reynolds numbers in millions
0.0      Control setting
0.0     Stall angle (deg)
0.0   Zero Cn angle of attack (deg)
0.0   Cn slope for zero lift (dimensionless)
0.0   Cn extrapolated to value at positive stall angle of attack
0.0   Cn at stall value for negative angle of attack
0.0   Angle of attack for minimum CD (deg)
0.0   Minimum CD value
-180.0000 -0.0000 .0250
-175.0000 .6900 .0550
-170.0000 .8500 .1400
-165.0000 .6750 .2300
-160.0000 .6600 .3200
-155.0000 .7400 .4200
-150.0000 .8500 .5750
-145.0000 .9100 .7550
-140.0000 .9450 .9250
-135.0000 .9450 1.0850
-130.0000 .9100 1.2250
-125.0000 .8400 1.3500
-120.0000 .7350 1.4650
-115.0000 .6250 1.5550
-110.0000 .5100 1.6350
-105.000 .3700 1.7000
-100.000 .22 1.7500
-95.0000 .0700 1.7800
-90.0000 -.0700 1.8000
-85.000 -.2200 1.8000
-80.0000 -.3700 1.7800
-75.0000 -.5150 1.7350
-70.0000 -0.6500 1.6650
-65.0000 -.7650 1.5750
-60.000 -.8750 1.4700
-55.00000 -.9650 1.3450
-50.0000 -1.0400 1.2150
-45.0000 -1.0850 1.0750
-40.0000 -1.0750 .9200
-35.0000 -1.0200 .7450
-30.0000 -.9150 .5700
-27.0000 -.9846 .4730
-26.0000 -.9313 .4460
-25.0000 -.8780 .4200
-24.0000 -.8246 .3940
-23.0000 -.7715 .3690
-22.0000  -.7179 .3440
-21.0000 -.6643 .3200
-20.0000 -.6120 .2970
-19.0000 -.5591 .2740
-18.0000 -.5047 .2520
-17.0000 -.4455 .2310
-15.0000 -.3792 .2100
-15.0000 -.3306 .1900
-14.0000 -.2893 .1060
-13.0000 -.2759 .0222
-12.0000 -.4832 .0217
-11.0000 -.9132 .0204
-10.0000 -.9811 .0184
-9.0000 -.9352 .0167
-8.00000 -.8542 .0153
-7.0000 -.7700 .0135
-6.0000 -.6600 .0125
-5.0000 -.5500 .0113
-4.0000 -.4400 .0098
-3.00000 -.3300 .0089
-2.0000 -.2200 .0084
-1.0000 -.1100 .0080
0.0000 0.0000 .0079
1.0000 .1100 .0080
2.0000 .2200 .0084
3.00000 .3300 .0089
4.0000 .4400 .0098
5.0000 .5500 .0113
